district_code,district,province,agro_ecological_zone
RW-KG-GAS,Gasabo,Kigali City,Urban/Peri-urban
RW-KG-KIC,Kicukiro,Kigali City,Urban/Peri-urban
RW-KG-NYA,Nyarugenge,Kigali City,Urban/Peri-urban
RW-SO-GIS,Gisagara,Southern,Central Plateau
RW-SO-HUY,Huye,Southern,Central Plateau
RW-SO-KAM,Kamonyi,Southern,Central Plateau
RW-SO-MUH,Muhanga,Southern,Central Plateau
RW-SO-NYA,Nyanza,Southern,Central Plateau
RW-SO-NYG,Nyamagabe,Southern,Highland (Congo-Nile)
RW-SO-NYR,Nyaruguru,Southern,Highland (Congo-Nile)
RW-SO-RUH,Ruhango,Southern,Central Plateau
RW-WE-KAR,Karongi,Western,Highland (Congo-Nile)
RW-WE-NGO,Ngororero,Western,Highland (Congo-Nile)
RW-WE-NYB,Nyabihu,Western,Highland (Congo-Nile)
RW-WE-NYS,Nyamasheke,Western,Highland (Congo-Nile)
RW-WE-RUB,Rubavu,Western,Highland (Congo-Nile)
RW-WE-RUS,Rusizi,Western,Highland (Congo-Nile)
RW-WE-RUT,Rutsiro,Western,Highland (Congo-Nile)
RW-NO-BUR,Burera,Northern,Highland (Congo-Nile)
RW-NO-GAK,Gakenke,Northern,Highland (Congo-Nile)
RW-NO-GIC,Gicumbi,Northern,Highland (Congo-Nile)
RW-NO-MUS,Musanze,Northern,Highland (Congo-Nile)
RW-NO-RUL,Rulindo,Northern,Highland (Congo-Nile)
RW-EA-BUG,Bugesera,Eastern,Eastern Savanna
RW-EA-GAT,Gatsibo,Eastern,Eastern Savanna
RW-EA-KAY,Kayonza,Eastern,Eastern Savanna
RW-EA-KIR,Kirehe,Eastern,Eastern Savanna
RW-EA-NGO,Ngoma,Eastern,Eastern Savanna
RW-EA-NYG,Nyagatare,Eastern,Eastern Savanna
RW-EA-RWA,Rwamagana,Eastern,Eastern Savanna
