crop,production_mt_2025b,production_mt_2024b,yield_mt_ha_2025b,yield_mt_ha_2024b,source_url
Maize,117711,119101,1.3,1.3,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Sorghum,125656,140314,1.2,1.2,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Paddy rice,72976,72834,4.1,4.1,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Wheat,11667,13045,1.3,1.3,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Cassava,852541,783294,14.4,14.3,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Sweet potato,652515,666814,8.1,7.7,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Irish potato,314093,285596,6.8,6.8,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Banana,1166247,1142552,12.4,12.4,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Cooking banana,527109,515798,17.2,17.0,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Dessert banana,154315,152891,11.2,11.4,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Banana for beer,484822,473863,9.8,9.7,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Beans,240721,242239,0.7,0.7,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Vegetables,181272,177549,9.2,8.9,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
Fruits,29798,27219,5.3,5.1,https://gis.statistics.gov.rw/data-sources/surveys/Seasonal-Agricultural-Survey/Seasonal-Agricultural-Survey/seasonal-agricultural-survey-season-b-2025
