period,indicator,value,unit,notes,source_url
2026B,agricultural_land,1.414,million hectares,~59% total land,https://statistics.gov.rw/statistical-publications/agriculture-environment/seasonal-agricultural-survey-season-b-2026
2026B,seasonal_crop_area,1.022,million hectares,,https://statistics.gov.rw/statistical-publications/agriculture-environment/seasonal-agricultural-survey-season-b-2026
2026B,permanent_crop_area,0.526,million hectares,,https://statistics.gov.rw/statistical-publications/agriculture-environment/seasonal-agricultural-survey-season-b-2026
2026B,improved_seed_use,20.9,percent farmers,,https://statistics.gov.rw/statistical-publications/agriculture-environment/seasonal-agricultural-survey-season-b-2026
2026B,organic_fertilizer_use,81.3,percent farmers,,https://statistics.gov.rw/statistical-publications/agriculture-environment/seasonal-agricultural-survey-season-b-2026
2026B,inorganic_fertilizer_use,57.5,percent farmers,,https://statistics.gov.rw/statistical-publications/agriculture-environment/seasonal-agricultural-survey-season-b-2026
2026B,pesticide_use,39.1,percent farmers,,https://statistics.gov.rw/statistical-publications/agriculture-environment/seasonal-agricultural-survey-season-b-2026
2026B,irrigation,13.1,percent farmers,,https://statistics.gov.rw/statistical-publications/agriculture-environment/seasonal-agricultural-survey-season-b-2026
2026B,agroforestry,58.0,percent farmers,,https://statistics.gov.rw/statistical-publications/agriculture-environment/seasonal-agricultural-survey-season-b-2026
2026B,mechanical_equipment,1.8,percent farmers,,https://statistics.gov.rw/statistical-publications/agriculture-environment/seasonal-agricultural-survey-season-b-2026
