year,season,district,crop,cultivated_area_ha,harvested_area_ha,production_mt,yield_kg_ha,source
2025,B,Nyarugenge,Maize,428.9898,428.9898,402.76475264742,938.8679,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Sorghum,304.8989,304.8989,259.34081489233006,850.5797000000001,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Paddy rice,0,0,0,0,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Wheat,,0,0,0,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Other cereals,,0,0,0,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Cassava,670.5609,234.00144702375005,2617.6759072469417,11186.58,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Sweet potato,180.9858,170.9219,1078.7898094305,6311.595,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Irish potato,,0,0,0,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Yams & Taro,87.18665,87.18665,770.43142485434,8836.57560938905,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Banana,1662.8441,694.55631573914,8030.1931112764905,11561.615565659118,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Beans,1564.49736,1564.497359,911.7428202347902,582.7704438041114,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Groundnut,,0,0,0,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Soybean,178.9243,178.9243,69.67487587814,389.4098,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Vegetables,125.8221,125.82208700000001,938.6391342184822,7460.050588880171,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Fruits,,0,0,0,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Fodder crops,77.35442,77.35442,1506.3566566047998,19473.439999999995,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyarugenge,Other crops,1762.2928299999999,768.45945,9201.068703192119,11973.395217134906,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Gasabo,Maize,1224.411,1223.97789,1542.4220175199998,1260.171470515697,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Gasabo,Sorghum,3015.836,3015.8357809999998,2993.501258027,992.5942509490374,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Gasabo,Paddy rice,283.3376,283.3376,1074.107,3790.90879572637,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Gasabo,Wheat,,0,0,0,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Gasabo,Other cereals,,0,0,0,NISR SAS 2025 Season B - uploaded official table workbook
