year,season,district,total_land_000ha,agricultural_land_000ha,agricultural_land_pct,modern_irrigated_area_ha,erosion_control_area_ha,agroforestry_area_ha,inorganic_fertilizer_area_ha,organic_fertilizer_area_ha,improved_seed_farmers_pct,organic_fertilizer_farmers_pct,inorganic_fertilizer_farmers_pct,pesticide_farmers_pct,erosion_protection_farmers_pct,mechanization_farmers_pct,irrigation_farmers_pct,agroforestry_farmers_pct,source
2025,B,Nyarugenge,13.094142307934574,5.686047,43.4243562218998,0,2304.755,851.9949,419.9369,1442.479,23.02,79.14,30.94,20.14,75.71,0,3.57,15.23,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Gasabo,42.710230252148435,20.27813,47.478390728132304,299.9943,13205.29,8849.812,4770.384,9697.698,21.75,80.84,50.97,40.91,82.9,0.97,20,44.85,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Kicukiro,16.562534364404296,6.165692999999999,37.226748421130054,188.2956,1797.716,3111.472,1009.639,1651.319,15.88,59.41,41.76,25.29,52.94,1.18,10,53.11,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyanza,67.04278783349609,49.01919,73.11627631258631,685.626,42209.55,25993.07,4404.816,18624.85,22.5,69.38,29.3,24.39,92.84,0.19,15.44,52.73,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Gisagara,67.47864910018312,48.709,72.18431407493577,3307.263,30290.57,20236.08,9953.351,20034.95,19.92,77.85,38.82,26.83,84.41,0.2,24.09,48.21,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyaruguru,101.04798560838621,39.9725419850708,39.55798004720777,24.07537,30827.76,12258.78,12456.02,17784.36,6.75,96.01,79.14,34.97,95.4,0.31,9.2,35.41,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Huye,58.063407297619634,35.84857,61.740382916642325,1267.021,29338.33,12026.85,5440.816,23440.84,11.59,83.18,30.91,22.5,87.84,0,18.69,30.49,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyamagabe,109.0743344895996,48.906199299023434,44.83749502380573,162.9455,37469.67,20875.64,13732.27,25067.83,12.12,96.1,69.05,41.13,88.58,0,9.27,48.63,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Ruhango,62.584193684021,46.14925,73.7394656436755,1022.655,41112.88,20010.74,3900.126,21636.65,8.88,86.98,24.17,24.59,92.39,0.41,19.75,46.43,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Muhanga,64.09447869753419,39.69284,61.9286416031449,128.4891,35264.25,19929,4174.479,20037.9,8.41,97.6,43.27,35.34,97.6,0,20.67,54.3,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Kamonyi,65.75003541818847,48.9258,74.41182303373427,889.8763,39754.24,27142.11,5853.04,21538.71,17.17,85.66,37.36,35.47,94.28,0.18,21.22,56.24,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Karongi,78.812256053125,46.9564631126831,59.58015347388501,1.882426,33970.44,20037.33,10112.13,22103.24,6.26,91.14,50.97,17.28,93.97,0,9.05,48.25,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Rutsiro,66.06075854906008,35.55355043944092,53.819470469805516,52.34404,25144.32,14229.84,9246.644,17331.7,7.65,90.5,61.74,34.04,94.72,0,4.49,41.25,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Rubavu,33.876553168090815,23.48266131080322,69.31833116045033,138.4389,18848.2,8289.554,12004.53,8577.595,21.91,60.45,71.28,73.8,93.73,0,0.75,34.76,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyabihu,54.03321182441407,33.93143047460938,62.797359862435556,0,29853.47,16779.7,16630.81,19144.61,37.74,95.67,88.22,79.57,98.56,0,0,50.79,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Ngororero,66.662476711145,44.46781894316406,66.7059208373662,0,40767.85,19804.67,12376.7,22958.7,15.51,97.76,73.67,45.51,98.78,0.2,6.53,48.32,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Rusizi,91.62673150339356,38.87533473072509,42.42794007039886,1670.619,27551.89,18517.75,14077.09,15066.85,9.77,71.29,61.72,21.09,86.55,0.19,11.5,50.17,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyamasheke,94.76788813907473,41.876577862561035,44.18857345549993,444.3125,28251.72,18690.7,13687.67,19902.68,7.92,94.38,77.08,29.79,93.96,1.46,14.79,51.26,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Rulindo,56.62350235334475,35.87964240661621,63.3652828161676,655.2078,29114.34,15726.8,9078.923,19795.09,14.37,96.84,67.24,57.76,95.99,0.86,13.18,48.83,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Gakenke,70.03174641347655,44.233940000000004,63.16269729850382,20.13402,41248.34,20232.66,15067.36,27402.69,12.5,98.98,83.4,55.12,99.8,0,4.65,49.42,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Musanze,50.91807325129395,29.594430618286133,58.121662365796745,0,20203.78,16964.27,11001.91,15662.94,15.03,91.34,74.26,80.18,84.32,0.45,4.09,56.68,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Burera,58.419612178442385,38.09779,65.21404127714938,0,35276.71,16173.11,13740.84,24214.98,15.05,93.33,70.75,54.19,95.7,0,2.15,42.37,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Gicumbi,82.46595814401856,53.34381036411133,64.6858553088678,63.58224,45917.4,23291.16,14163.26,32638.77,12.86,97.86,64.29,52.68,97.69,0.53,4.62,47.76,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Rwamagana,65.1446796352051,45.77381999999999,70.26486315739464,2048.408,34443.08,26903.59,12527.82,18572.25,16.83,75.84,48.51,27.52,95.05,0.99,15.25,62.03,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Nyagatare,191.47989576711424,146.67424,76.60033415643346,2917.675,83911.81,102013.2,47814.24,35827.82,62.11,63.43,76.11,31.3,78.58,4.94,15.32,64.66,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Gatsibo,153.2742017575928,79.19391,51.66812750735917,2021.555,62495.57,45328.4,25635.85,36700.25,29.94,79.8,58.31,39.83,90.44,0.86,7.56,60.59,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Kayonza,179.99424071804202,87.81814999999999,48.78942217799383,2523.31,53023.96,36588.02,18046.77,24673.23,26.96,68.07,48.76,28.68,85.2,2.09,12.14,53.74,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Kirehe,114.15096917944335,73.86311,64.70651150047485,2298.193,46990.45,47679.08,16829.2,18636.33,3.9,56.99,43.28,25.13,89.13,0.81,14.63,66.13,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Ngoma,80.26310612858886,57.41731000000001,71.53636679349565,1164.995,34801.1,30769.64,7573.837,14702.4,12.97,53.8,30.06,20.09,82.31,0.32,9.32,57.28,NISR SAS 2025 Season B - uploaded official table workbook
2025,B,Bugesera,120.19015386010744,76.64605999999999,63.77066468290772,3948.487,40439.23,37930.92,16481.44,22268.94,28.38,66.07,45.5,15.92,76.38,1.05,13.6,56.51,NISR SAS 2025 Season B - uploaded official table workbook
