year,season,district,surface_irrigation_pct,flood_irrigation_pct,drip_irrigation_pct,sprinkler_irrigation_pct,pivot_irrigation_pct,traditional_irrigation_pct,rainwater_source_pct,water_treatment_source_pct,underground_source_pct,lake_stream_source_pct,water_catchment_source_pct,source
2025,B,Nyarugenge,0,0,0,0,0,0,0,0,0,0,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Gasabo,15.79,0,5.26,0,5.26,73.68,0,10,45,40,5,NISR SAS 2025 Season B - Tables 30-31
2025,B,Kicukiro,50,10,0,0,0,40,0,9.09,9.09,72.73,9.09,NISR SAS 2025 Season B - Tables 30-31
2025,B,Nyanza,0,57.14,0,0,0,42.86,0,0,63.64,18.18,18.18,NISR SAS 2025 Season B - Tables 30-31
2025,B,Gisagara,4,68,0,0,0,28,4,0,44,52,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Nyaruguru,9.09,9.09,0,0,0,81.82,0,0,75,25,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Huye,12.2,51.22,0,0,0,36.59,2.08,0,54.17,33.33,10.42,NISR SAS 2025 Season B - Tables 30-31
2025,B,Nyamagabe,25,25,0,0,0,50,12.5,0,37.5,50,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Ruhango,43.75,37.5,0,0,0,18.75,6.25,6.25,25,50,12.5,NISR SAS 2025 Season B - Tables 30-31
2025,B,Muhanga,37.5,0,0,0,0,62.5,0,0,50,25,25,NISR SAS 2025 Season B - Tables 30-31
2025,B,Kamonyi,36.36,15.15,0,0,0,48.48,0,3.03,60.61,36.36,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Karongi,11.11,0,0,0,0,88.89,0,33.33,22.22,44.44,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Rutsiro,50,0,0,0,0,50,0,50,0,50,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Rubavu,100,0,0,0,0,0,0,0,100,0,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Nyabihu,0,0,0,0,0,0,0,0,0,0,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Ngororero,0,0,0,0,0,100,0,50,33.33,16.67,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Rusizi,10.53,36.84,0,0,0,52.63,0,5,35,60,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Nyamasheke,6.67,40,0,0,0,53.33,0,0,50,50,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Rulindo,56.25,6.25,0,6.25,0,31.25,0,0,15,65,20,NISR SAS 2025 Season B - Tables 30-31
2025,B,Gakenke,0,40,0,0,0,60,0,0,20,80,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Musanze,0,0,0,0,0,100,0,0,100,0,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Burera,0,0,0,0,0,100,0,25,25,50,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Gicumbi,14.29,0,0,0,0,85.71,0,28.57,42.86,28.57,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Rwamagana,45.07,12.68,29.58,0,0,12.68,5.13,3.85,26.92,39.74,24.36,NISR SAS 2025 Season B - Tables 30-31
2025,B,Nyagatare,1.56,21.88,3.12,0,15.62,57.81,3.03,0,10.61,72.73,13.64,NISR SAS 2025 Season B - Tables 30-31
2025,B,Gatsibo,34.62,15.38,3.85,0,0,46.15,0,0,23.08,46.15,30.77,NISR SAS 2025 Season B - Tables 30-31
2025,B,Kayonza,16.07,19.64,7.14,19.64,7.14,30.36,6.74,4.49,22.47,30.34,35.96,NISR SAS 2025 Season B - Tables 30-31
2025,B,Kirehe,36.36,13.64,0,9.09,22.73,18.18,0,4.55,31.82,63.64,0,NISR SAS 2025 Season B - Tables 30-31
2025,B,Ngoma,25,56.25,0,0,0,18.75,5.56,5.56,55.56,22.22,11.11,NISR SAS 2025 Season B - Tables 30-31
2025,B,Bugesera,27.42,24.19,8.06,1.61,3.23,35.48,1.59,3.17,6.35,80.95,7.94,NISR SAS 2025 Season B - Tables 30-31
