year,season,district,ditches_pct,trees_windbreak_pct,bench_terraces_pct,progressive_terraces_pct,cover_plants_pct,water_drainage_pct,mulching_pct,beds_ridges_pct,water_channels_pct,erosion_severe_pct,erosion_moderate_pct,erosion_low_pct,erosion_very_low_pct,source
2025,B,Nyarugenge,0.22,30.18,0,1.04,38.49,0,16.84,9.89,3.35,0,0,21.75,78.25,NISR SAS 2025 Season B - Tables 32-33
2025,B,Gasabo,3.99,3.15,0.82,0.06,80.37,0.02,2.94,1.31,7.19,0.15,7.33,12.83,79.69,NISR SAS 2025 Season B - Tables 32-33
2025,B,Kicukiro,4.43,2.31,2.37,6.46,71.8,0.25,11.75,0.37,0.26,1.12,8.2,38.57,52.11,NISR SAS 2025 Season B - Tables 32-33
2025,B,Nyanza,6.62,3.83,5.37,23.44,43.87,0.04,1.12,5.2,10.49,1.7,10.52,16.65,71.13,NISR SAS 2025 Season B - Tables 32-33
2025,B,Gisagara,11.12,8.4,0.66,19.62,44.55,2.07,1.29,1.68,9.69,1.04,4.75,37.61,56.6,NISR SAS 2025 Season B - Tables 32-33
2025,B,Nyaruguru,3.26,2.58,6.45,16.56,46.91,0,0.53,2.67,21.05,0,8.93,43.35,47.72,NISR SAS 2025 Season B - Tables 32-33
2025,B,Huye,11.07,6.61,2.86,23.88,31.81,2.75,0.16,2.97,17.89,8.11,16.84,4.23,70.82,NISR SAS 2025 Season B - Tables 32-33
2025,B,Nyamagabe,7.62,10.54,9.27,10.43,54.72,0,0.42,2.6,4.4,9.19,14.66,46.28,29.88,NISR SAS 2025 Season B - Tables 32-33
2025,B,Ruhango,11.56,5.32,0.29,19.5,47.6,0.17,0.84,1.26,13.47,2.79,4.89,15.97,76.34,NISR SAS 2025 Season B - Tables 32-33
2025,B,Muhanga,5.02,2.04,1.37,3.83,75.8,0.09,4.3,0.36,7.18,0.85,6.43,57.32,35.4,NISR SAS 2025 Season B - Tables 32-33
2025,B,Kamonyi,7.07,15.22,0.24,2.76,53.95,0.16,2.6,4.12,13.62,1.13,4.66,46.87,47.35,NISR SAS 2025 Season B - Tables 32-33
2025,B,Karongi,1.86,14.22,5.23,6.24,64.7,0,2.27,0.77,4.71,0.84,10.86,50.49,37.81,NISR SAS 2025 Season B - Tables 32-33
2025,B,Rutsiro,3.04,2.14,8.89,16.54,62.8,0,2.36,0.99,3.24,0.54,21.79,26,51.67,NISR SAS 2025 Season B - Tables 32-33
2025,B,Rubavu,0.97,14.4,16.59,3.35,26.31,0,0,36.51,1.87,0,3.07,28.5,68.44,NISR SAS 2025 Season B - Tables 32-33
2025,B,Nyabihu,2.38,11.79,11.12,8.7,53.5,0,0.51,8.99,3,3.47,16.41,31.32,48.8,NISR SAS 2025 Season B - Tables 32-33
2025,B,Ngororero,4.52,4.26,3.71,6.07,73.68,0,3.04,1.16,3.55,3,10.57,45.19,41.23,NISR SAS 2025 Season B - Tables 32-33
2025,B,Rusizi,5.46,9.77,0,3.32,62.84,0.01,8.45,4.44,5.63,0.94,30.46,37.26,31.33,NISR SAS 2025 Season B - Tables 32-33
2025,B,Nyamasheke,2.95,10.34,6.88,2.7,64.2,1.5,5.63,2.03,3.66,1.17,8.8,25.89,64.13,NISR SAS 2025 Season B - Tables 32-33
2025,B,Rulindo,3.28,4.11,5.66,12.6,62.73,0.08,1.11,2.37,8.02,1.34,24.31,54.66,19.68,NISR SAS 2025 Season B - Tables 32-33
2025,B,Gakenke,4.18,8.74,3.16,3.71,71.39,0,2.69,1.4,4.74,1.52,15.36,55.61,27.51,NISR SAS 2025 Season B - Tables 32-33
2025,B,Musanze,2.41,8.59,1.89,0.37,49.63,0,0.68,31.78,4.66,9.02,9.97,57.73,23.28,NISR SAS 2025 Season B - Tables 32-33
2025,B,Burera,13.84,2.82,5.19,7.53,55.99,0.25,0.56,10.1,3.72,0.18,3.93,37.45,58.44,NISR SAS 2025 Season B - Tables 32-33
2025,B,Gicumbi,1.1,4.99,9.94,20.21,59.51,1.93,0.44,0.7,1.17,0.31,10.57,21.95,67.17,NISR SAS 2025 Season B - Tables 32-33
2025,B,Rwamagana,5.08,9.9,7.35,6.75,52.1,0.45,2.4,9.08,6.89,0.14,0.37,32.12,67.38,NISR SAS 2025 Season B - Tables 32-33
2025,B,Nyagatare,7.69,11.38,0.08,8.52,51.46,0.05,8.19,5.1,7.53,0.06,6.96,52,40.98,NISR SAS 2025 Season B - Tables 32-33
2025,B,Gatsibo,2.18,17.34,0.31,18.04,46.44,0.05,5.21,2.06,8.36,1.91,5.25,21.76,71.08,NISR SAS 2025 Season B - Tables 32-33
2025,B,Kayonza,4.03,10.38,5.38,5.16,52.24,0.1,5.37,1.59,15.75,0.17,6.88,19.05,73.89,NISR SAS 2025 Season B - Tables 32-33
2025,B,Kirehe,5.52,3.24,3.17,7.24,68.21,0.08,11.65,0,0.4,0.05,1.12,1.09,97.74,NISR SAS 2025 Season B - Tables 32-33
2025,B,Ngoma,6.4,6.63,2.72,8.08,58.44,0.04,9.21,2.98,5.29,0.06,8.09,43.6,48.25,NISR SAS 2025 Season B - Tables 32-33
2025,B,Bugesera,10.2,12.15,4.65,8.05,41.33,0.02,2,5.42,16.01,0,8.2,28.77,63.02,NISR SAS 2025 Season B - Tables 32-33
