year,season,crop,cultivated_area_ha,harvested_area_ha,production_mt,yield_mt_ha,source
2025,B,Cereals,231223.55310500006,231198.2008607,330446.29119206086,,NISR SAS 2025 Season B Table 6
2024,B,Cereals,243759.78363299998,243132.1631184,346827.0585417247,,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Maize,93004.99,92978.831099,117710.62025771625,1.265993762950008,NISR SAS 2025 Season B Table 6
2024,B,Maize,92943.75,92748.791176,119101.22948988932,1.2841270272071035,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Sorghum,107195.15083999999,107195.15083999999,125655.5902792073,1.1722133818045692,NISR SAS 2025 Season B Table 6
2024,B,Sorghum,120004.99717,120004.85261140001,140313.90201543417,1.169235234760039,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Paddy rice,17969.566365,17969.566365000002,72976.07382234184,4.0610926463133845,NISR SAS 2025 Season B Table 6
2024,B,Paddy rice,17994.34,17578.372528,72834.44384388527,4.14341223727451,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Wheat,9297.60174,9297.768510000002,11667.10314831459,1.2548283102301703,NISR SAS 2025 Season B Table 6
2024,B,Wheat,10293.733332999998,10293.733323,13045.45468262884,1.2673200551524373,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Other cereals,3756.795,3756.8840467,2436.903684480884,0.6486502256095525,NISR SAS 2025 Season B Table 6
2024,B,Other cereals,2522.962,2506.41348,1532.0285098870993,0.6216503311790543,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Tubers and Roots,351073.55428359006,201864.5605787063,1937089.5874868336,,NISR SAS 2025 Season B Table 6
2024,B,Tubers and Roots,328446.11,198308.73311794805,1848075.1695075105,,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Cassava,196881.3742835901,59052.87382380626,852541.2360327417,14.436913579793519,NISR SAS 2025 Season B Table 6
2024,B,Cassava,172596.4,54679.28335664806,783294.2412300505,14.325247024928597,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Sweet potato,89679.29,81044.50222810001,652515.1298667592,8.051318867136148,NISR SAS 2025 Season B Table 6
2024,B,Sweet potato,97288.65,86579.72281039998,666814.3436564293,7.701738028391232,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Irish potato,45939.54,45927.78993570001,314092.53794686176,6.8388341434804225,NISR SAS 2025 Season B Table 6
2024,B,Irish potato,41835.6,41715.942171,285596.10844206973,6.846210191570593,NISR SAS 2025 Season B Table 6 (2024B comparator)
2025,B,Taro &Yams,18573.35,15839.394591099997,117940.68364047109,7.446034819205831,NISR SAS 2025 Season B Table 6
